A,Cleaned_Medicine_Name
Dayquil Severe Cold Flu,Dayquil Severe Cold Flu
Daysee Extendedcycle,Daysee Extendedcycle
Daytime Cold,Daytime Cold
Daytrana Transdermal,Daytrana Transdermal
Dcare X,Dcare X
Ddavp Nasal,Ddavp Nasal
Ddavp Nasal Spray,Ddavp Nasal Spray
Ddavp Rhinal Tube,Ddavp Rhinal Tube
Ddavp Rhinal Tube Nasal,Ddavp Rhinal Tube Nasal
Dds Dental Wipes,Dds Dental Wipes
Debrox Otic,Debrox Otic
Decadron Elixir,Decadron Elixir
Decagesic Ab,Decagesic Ab
Decavac Td,Decavac Td
Deccox M,Deccox M
Dechlor G,Dechlor G
Dechlor Hc,Dechlor Hc
Decitabine Cedazuridine,Decitabine Cedazuridine
Deconamine Sr,Deconamine Sr
Deconex Dmx,Deconex Dmx
Deconex Ir,Deconex Ir
Decongestant Analgesic Combinations,Decongestant Analgesic Combinations
Decongestant Hour Max St,Decongestant Hour Max St
Decorel Forte Plus Coldcough,Decorel Forte Plus Coldcough
Deep Sea Nasal Spray,Deep Sea Nasal Spray
Deer Velvet,Deer Velvet
Deferasirox Granules,Deferasirox Granules
Deferasirox Tablets For,Deferasirox Tablets For
Deferoxamine Mesylate,Deferoxamine Mesylate
Defibrotide Sodium,Defibrotide Sodium
Degarelix Acetate,Degarelix Acetate
Dehydrated Alcohol,Dehydrated Alcohol
Dekpak  Day Taperpak,Dekpak  Day Taperpak
Delafloxacin Meglumine,Delafloxacin Meglumine
Delavirdine Mesylate,Delavirdine Mesylate
Delflex Neutral Ph,Delflex Neutral Ph
Delos Lotion,Delos Lotion
Delsym Adult Night Time Multisymptom,Delsym Adult Night Time Multisymptom
Delsym Childrens Night Time Cough Cold,Delsym Childrens Night Time Cough Cold
Delsym Cough Plus Chest Congestion Dm,Delsym Cough Plus Chest Congestion Dm
Delsym Cough Plus Cold Day Time,Delsym Cough Plus Cold Day Time
Delsym Cough Plus Cold Night Time,Delsym Cough Plus Cold Night Time
Delsym Cough Relief,Delsym Cough Relief
Delsym Cough Soothing Action,Delsym Cough Soothing Action
Delsym Hour Cough Relief,Delsym Hour Cough Relief
Delta D,Delta D
Deltuss Dmx,Deltuss Dmx
Deltuss Dp,Deltuss Dp
Demeclocycline Hydrochloride,Demeclocycline Hydrochloride
Dendracin Neurodendraxcin,Dendracin Neurodendraxcin
Dengue Tetravalent Vaccine,Dengue Tetravalent Vaccine
Dengue Vaccine Live,Dengue Vaccine Live
Denileukin Diftitox,Denileukin Diftitox
Denorex Extra Strength,Denorex Extra Strength
Denta  Plus,Denta  Plus
Dentall  Plus,Dentall  Plus
Denticare Dentifoam Topical Sodium Fluoride Foam,Denticare Dentifoam Topical Sodium Fluoride Foam
Denticare Dentifreeze Topical Anesthetic,Denticare Dentifreeze Topical Anesthetic
Denticare Dentipro,Denticare Dentipro
Denticare Dentipro Topical Sodium Fluoride,Denticare Dentipro Topical Sodium Fluoride
Denticare Dentirinse,Denticare Dentirinse
Denticare Dentirinse Chlorhexidine Rinse,Denticare Dentirinse Chlorhexidine Rinse
Denticare Dentirinse Neutral Sodium Fluoride Rinse,Denticare Dentirinse Neutral Sodium Fluoride Rinse
Denticare Pro,Denticare Pro
Denticare Profoam,Denticare Profoam
Denticare Prorinse,Denticare Prorinse
Deoxycholic Acid,Deoxycholic Acid
Depakote Dr,Depakote Dr
Depakote Er,Depakote Er
Depakote Pellets,Depakote Pellets
Depakote Sprinkles,Depakote Sprinkles
Depen Titratabs,Depen Titratabs
Depoprovera Contraceptive,Depoprovera Contraceptive
Deposubq Provera ,Deposubq Provera
Deprizine Fusepaq,Deprizine Fusepaq
Deramsilkrx Anodynexa Pak,Deramsilkrx Anodynexa Pak
Derma Gran Af,Derma Gran Af
Derma Numb Spray,Derma Numb Spray
Dermacinrx Cinlonei,Dermacinrx Cinlonei
Dermacinrx Cinloneii Cpi,Dermacinrx Cinloneii Cpi
Dermacinrx Clorhexacin,Dermacinrx Clorhexacin
Dermacinrx Dpn Pak,Dermacinrx Dpn Pak
Dermacinrx Empricaine,Dermacinrx Empricaine
Dermacinrx Foliplus D,Dermacinrx Foliplus D
Dermacinrx Inflammatral Pak,Dermacinrx Inflammatral Pak
Dermacinrx Lexitral,Dermacinrx Lexitral
Dermacinrx Lexitral Pharmapak,Dermacinrx Lexitral Pharmapak
Dermacinrx Lido V,Dermacinrx Lido V
Dermacinrx Lidotral,Dermacinrx Lidotral
Dermacinrx Phn,Dermacinrx Phn
Dermacinrx Prikaan,Dermacinrx Prikaan
Dermacinrx Prizopak,Dermacinrx Prizopak
Dermacinrx Purefolix,Dermacinrx Purefolix
Dermacinrx Silapak,Dermacinrx Silapak
Dermacinrx Silazone,Dermacinrx Silazone
Dermacinrx Therazole Pak,Dermacinrx Therazole Pak
Dermacinrx Trizapak,Dermacinrx Trizapak
Dermacinrx Zrm,Dermacinrx Zrm
Dermagran Af,Dermagran Af
Dermanic With Quadracin,Dermanic With Quadracin
Dermapak Plus,Dermapak Plus
Dermaprot Triclotrexb,Dermaprot Triclotrexb
Dermarest Plus Antiitch,Dermarest Plus Antiitch
Dermarest Psoriasis,Dermarest Psoriasis
Dermarest Psoriasis Skin Treatment,Dermarest Psoriasis Skin Treatment
Dermasept Antifungal,Dermasept Antifungal
Dermasilkrx Diclopak,Dermasilkrx Diclopak
Dermasilkrx Sds Pak,Dermasilkrx Sds Pak
Dermasmoothefs Body Oil,Dermasmoothefs Body Oil
Dermasmoothefs Scalp Oil,Dermasmoothefs Scalp Oil
Dermasorb Af,Dermasorb Af
Dermasorb Af Complete,Dermasorb Af Complete
Dermasorb Hc,Dermasorb Hc
Dermasorb Hc Complete,Dermasorb Hc Complete
Dermasorb Ta,Dermasorb Ta
Dermasorb Ta Complete,Dermasorb Ta Complete
Dermasorb Xm,Dermasorb Xm
Dermatop E,Dermatop E
Dermatophagoides Farinae Extract Dermatophagoides Pteronyssinus Extract,Dermatophagoides Farinae Extract Dermatophagoides Pteronyssinus Extract
Dermawerx Sds Pak,Dermawerx Sds Pak
Dermawerx Surgical Plus Pak,Dermawerx Surgical Plus Pak
Dermawerx Surgical Prepak,Dermawerx Surgical Prepak
Dermazinc Shampoo,Dermazinc Shampoo
Dermazinc Spray,Dermazinc Spray
Dermoplast Maximum Strength,Dermoplast Maximum Strength
Dermotic Oil,Dermotic Oil
Dermovate Scalp Application,Dermovate Scalp Application
Dermtex Hc,Dermtex Hc
Desenex Foot,Desenex Foot
Desenex Jock Itch,Desenex Jock Itch
Desenex Spray,Desenex Spray
Desflurane Inhalation,Desflurane Inhalation
Desiccated Stomach Substance,Desiccated Stomach Substance
Desipramine Hydrochloride,Desipramine Hydrochloride
Desitin Maximum Strength Original,Desitin Maximum Strength Original
Desitin Rapid Relief,Desitin Rapid Relief
Desloratadine Orally Disintegrating,Desloratadine Orally Disintegrating
Desloratadine Pseudoephedrine,Desloratadine Pseudoephedrine
Desmopressin Acetate,Desmopressin Acetate
Desmopressin Nasal,Desmopressin Nasal
Desmopressin Nasal Spray,Desmopressin Nasal Spray
Desmopressin Rhinal Tube,Desmopressin Rhinal Tube
Desogestrel Ethinyl Estradiol,Desogestrel Ethinyl Estradiol
Desone La,Desone La
Desonide Foam,Desonide Foam
Desonide Lotion,Desonide Lotion
Desonide Topical Application,Desonide Topical Application
Desoximetasone Topical Application,Desoximetasone Topical Application
Desoximetasone Topical Spray,Desoximetasone Topical Spray
Despec Dm,Despec Dm
Desquamx Wash,Desquamx Wash
Desvenlafaxine Er,Desvenlafaxine Er
Desvenlafaxine Succinate,Desvenlafaxine Succinate
Desyrel Dividose,Desyrel Dividose
Detrol La,Detrol La
Devils Claw,Devils Claw
Devils Club,Devils Club
Dewees Carminative,Dewees Carminative
Dex Hbr,Dex Hbr
Dexaject Sp,Dexaject Sp
Dexamethasone Eent,Dexamethasone Eent
Dexamethasone Elixir,Dexamethasone Elixir
Dexamethasone Eye,Dexamethasone Eye
Dexamethasone Eye Implant Insert,Dexamethasone Eye Implant Insert
Dexamethasone Intensol,Dexamethasone Intensol
Dexamethasone Intraocular,Dexamethasone Intraocular
Dexamethasone Ophthalmic,Dexamethasone Ophthalmic
Dexamethasone Sodium Phosphate Eent,Dexamethasone Sodium Phosphate Eent
Dexamethasone Sodiumphosphate,Dexamethasone Sodiumphosphate
Dexamethasone Tobramycin Ophthalmic,Dexamethasone Tobramycin Ophthalmic
Dexasone La,Dexasone La
Dexbrompheniramine Acetaminophen Caplets,Dexbrompheniramine Acetaminophen Caplets
Dexbrompheniramine Maleate,Dexbrompheniramine Maleate
Dexbrompheniramine Phenylephrine,Dexbrompheniramine Phenylephrine
Dexbrompheniramine Pseudoephedrine,Dexbrompheniramine Pseudoephedrine
Dexbrompheniramine Pseudoephedrine Sustainedrelease,Dexbrompheniramine Pseudoephedrine Sustainedrelease
Dexchlorpheniramine Maleate,Dexchlorpheniramine Maleate
Dexchlorpheniramine Phenylephrine,Dexchlorpheniramine Phenylephrine
Dexchlorpheniramine Pseudoephedrine,Dexchlorpheniramine Pseudoephedrine
Dexedrine Spansule,Dexedrine Spansule
Dexedrine Spansules,Dexedrine Spansules
Dexilant Solutab,Dexilant Solutab
Dexium Sp,Dexium Sp
Dexmedetomidine Hydrochloride,Dexmedetomidine Hydrochloride
Dexmedetomidine In Sodium Chloride,Dexmedetomidine In Sodium Chloride
Dexmethylphenidate Er,Dexmethylphenidate Er
Dexmethylphenidate Extendedrelease,Dexmethylphenidate Extendedrelease
Dexmethylphenidate Hydrochloride,Dexmethylphenidate Hydrochloride
Dexpak  Day Taperpak,Dexpak  Day Taperpak
Dexpak  Daytaperpak,Dexpak  Daytaperpak
Dexpak Jr,Dexpak Jr
Dexphen Wc,Dexphen Wc
Dexrazoxane Hydrochloride,Dexrazoxane Hydrochloride
Dextenza Insert,Dextenza Insert
Dextenza Intraocular,Dextenza Intraocular
Dextran   In  Dextrose High Molecular Weight,Dextran   In  Dextrose High Molecular Weight
Dextran High Molecular Weight,Dextran High Molecular Weight
Dextranomer Hyaluronate Derivatives,Dextranomer Hyaluronate Derivatives
Dextranomer Sodium Hyaluronate,Dextranomer Sodium Hyaluronate
Dextroamphetamine Amphetamine,Dextroamphetamine Amphetamine
Dextroamphetamine Amphetamine Extendedrelease,Dextroamphetamine Amphetamine Extendedrelease
Dextroamphetamine Er,Dextroamphetamine Er
Dextroamphetamine Extendedrelease,Dextroamphetamine Extendedrelease
Dextroamphetamine Saccharate,Dextroamphetamine Saccharate
Dextroamphetamine Sulfate,Dextroamphetamine Sulfate
Dextroamphetamine Sustainedrelease,Dextroamphetamine Sustainedrelease
Dextromethorphan Chewable,Dextromethorphan Chewable
Dextromethorphan Chlorpheniramine,Dextromethorphan Chlorpheniramine
Dextromethorphan Chlorpheniramine Chewable,Dextromethorphan Chlorpheniramine Chewable
Dextromethorphan Doxylamine,Dextromethorphan Doxylamine
Dextromethorphan Extendedrelease,Dextromethorphan Extendedrelease
Dextromethorphan Guaifenesin,Dextromethorphan Guaifenesin
Dextromethorphan Hydrobromide,Dextromethorphan Hydrobromide
Dextromethorphan Hydrobromide Quinidine Sulfate,Dextromethorphan Hydrobromide Quinidine Sulfate
Dextromethorphan Lozenges,Dextromethorphan Lozenges
Dextromethorphan Menthol,Dextromethorphan Menthol
Dextromethorphan Orally Disintegrating Strips,Dextromethorphan Orally Disintegrating Strips
Dextromethorphan Phenylephrine,Dextromethorphan Phenylephrine
Dextromethorphan Phenylephrine Orally Disintegrating Strips,Dextromethorphan Phenylephrine Orally Disintegrating Strips
Dextromethorphan Phenylephrine Syrp With Diphenhydramine Phenylephrine Syrp,Dextromethorphan Phenylephrine Syrp With Diphenhydramine Phenylephrine Syrp
Dextromethorphan Promethazine,Dextromethorphan Promethazine
Dextromethorphan Pyrilamine,Dextromethorphan Pyrilamine
Dextromethorphan Quinidine,Dextromethorphan Quinidine
Dextromethorphan Tablets,Dextromethorphan Tablets
Dextrose  In Water,Dextrose  In Water
Dextrose Chewable,Dextrose Chewable
Dextrose Concentrated,Dextrose Concentrated
Dextrose Electrolyte No ,Dextrose Electrolyte No
Dextrose In Lactated Ringers,Dextrose In Lactated Ringers
Dextrose In Ringers,Dextrose In Ringers
Dextrose Infants,Dextrose Infants
Dextrose Minibag,Dextrose Minibag
Dextrose Sodium Chloride,Dextrose Sodium Chloride
Dexycu Intraocular,Dexycu Intraocular
Dhs Body Wash,Dhs Body Wash
Dhs Sal,Dhs Sal
Dhs Tar,Dhs Tar
Dhs Tar Shampoo,Dhs Tar Shampoo
Dhs Zinc,Dhs Zinc
Dht Intensol,Dht Intensol
Dia Ionx Blood Sugar Management Formula,Dia Ionx Blood Sugar Management Formula
Diabetaid Antifungal Foot Bath,Diabetaid Antifungal Foot Bath
Diabetaid Antiitch,Diabetaid Antiitch
Diabetic Siltussin Dasna,Diabetic Siltussin Dasna
Diabetic Tussin,Diabetic Tussin
Diabetic Tussin Ex,Diabetic Tussin Ex
Diabetic Tussin Night Time Formula,Diabetic Tussin Night Time Formula
Diacylglycerol Oil,Diacylglycerol Oil
Dialyvite Iron,Dialyvite Iron
Dialyvite Probiotic,Dialyvite Probiotic
Dialyvite Supreme D,Dialyvite Supreme D
Dialyvite Vitamin D ,Dialyvite Vitamin D
Dialyvite Vitamin D Max,Dialyvite Vitamin D Max
Dialyvite With Zinc,Dialyvite With Zinc
Diamox Sequels,Diamox Sequels
Dianeal Low Calcium Peritoneal Dialysis,Dianeal Low Calcium Peritoneal Dialysis
Dianeal Pd,Dianeal Pd
Dianeal With Dextrose,Dianeal With Dextrose
Diastat Acudial,Diastat Acudial
Diastat Pediatric,Diastat Pediatric
Diatrizoate Meglumine,Diatrizoate Meglumine
Diatrizoate Meglumine Diatrizoate Sodium,Diatrizoate Meglumine Diatrizoate Sodium
Diatrizoate Meglumine Iodipamide Meglumine,Diatrizoate Meglumine Iodipamide Meglumine
Diatx Zn,Diatx Zn
Diazepam Autoinjector,Diazepam Autoinjector
Diazepam Concentrate,Diazepam Concentrate
Diazepam Intensol,Diazepam Intensol
Diazepam Nasal,Diazepam Nasal
Diazepam Nasal Spray,Diazepam Nasal Spray
Diazepam Rectal,Diazepam Rectal
Dibucaine Topical Application,Dibucaine Topical Application
Dichloralphenazone Acetaminophen,Dichloralphenazone Acetaminophen
Dichroa Root,Dichroa Root
Diclo With Xrylix,Diclo With Xrylix
Diclofenac Delayedrelease,Diclofenac Delayedrelease
Diclofenac Epolamine,Diclofenac Epolamine
Diclofenac Extended Release Tablets Mg,Diclofenac Extended Release Tablets Mg
Diclofenac Extendedrelease,Diclofenac Extendedrelease
Diclofenac Immediaterelease,Diclofenac Immediaterelease
Diclofenac Menthol,Diclofenac Menthol
Diclofenac Misoprostol,Diclofenac Misoprostol
Diclofenac Misoprostol Delayed Release,Diclofenac Misoprostol Delayed Release
Diclofenac Ophthalmic,Diclofenac Ophthalmic
Diclofenac Potassium,Diclofenac Potassium
Diclofenac Sodium,Diclofenac Sodium
Diclofenac Sodium Topical,Diclofenac Sodium Topical
Diclofenac Topical,Diclofenac Topical
Diclofenac Transdermal,Diclofenac Transdermal
Diclofex Dc,Diclofex Dc
Diclotral Pak,Diclotral Pak
Dicloxacillin Sodium,Dicloxacillin Sodium
Dicopanol Fusepaq,Dicopanol Fusepaq
Dicyclomine Hydrochloride,Dicyclomine Hydrochloride
Didanosine Delayedrelease Entericcoated,Didanosine Delayedrelease Entericcoated
Dienogest Estradiol,Dienogest Estradiol
Diethylene Triamine Pentaacetic Acid,Diethylene Triamine Pentaacetic Acid
Diethylpropion Controlledrelease,Diethylpropion Controlledrelease
Diethylpropion Extended Release,Diethylpropion Extended Release
Diethylpropion Hydrochloride,Diethylpropion Hydrochloride
Difenoxin Atropine,Difenoxin Atropine
Differin Lotion,Differin Lotion
Difilg Forte,Difilg Forte
Diflorasone Diacetate,Diflorasone Diacetate
Diflorasone Topical Application,Diflorasone Topical Application
Diflucan Iv,Diflucan Iv
Difluprednate Ophthalmic,Difluprednate Ophthalmic
Digestive Health Probiotic,Digestive Health Probiotic
Digex Nf,Digex Nf
Digitaline Nativelle,Digitaline Nativelle
Digon Ii,Digon Ii
Digoxin Immune Fab,Digoxin Immune Fab
Dihydro Cp,Dihydro Cp
Dihydrocodeine Bpm Phenyleph Hcl,Dihydrocodeine Bpm Phenyleph Hcl
Dihydroergotamine Mesylate,Dihydroergotamine Mesylate
Dihydroergotamine Nasal,Dihydroergotamine Nasal
Dihydroergotamine Nasal Spray,Dihydroergotamine Nasal Spray
Dilacor Xr,Dilacor Xr
Dilantin Infatabs,Dilantin Infatabs
Dilantin Kapseals,Dilantin Kapseals
Dilaudid Rectal,Dilaudid Rectal
Diltia Xt,Diltia Xt
Diltiazem Cd,Diltiazem Cd
Diltiazem Extended Release,Diltiazem Extended Release
Diltiazem Hour Sustainedrelease,Diltiazem Hour Sustainedrelease
Diltiazem Hydrochloride,Diltiazem Hydrochloride
Diltiazem Longacting,Diltiazem Longacting
Dimaphen Dm,Dimaphen Dm
Dimaphen Dm Coldcough,Dimaphen Dm Coldcough
Dimaphen Elixir,Dimaphen Elixir
Dimenhydrinate Chewable,Dimenhydrinate Chewable
Dimetane Dx,Dimetane Dx
Dimetapp Cold Allergy,Dimetapp Cold Allergy
Dimetapp Cold Cough,Dimetapp Cold Cough
Dimetapp Cold Relief Childrens,Dimetapp Cold Relief Childrens
Dimetapp Decongestant,Dimetapp Decongestant
Dimetapp Dm Cold Cough,Dimetapp Dm Cold Cough
Dimetapp Long Acting Cough Plus Cold,Dimetapp Long Acting Cough Plus Cold
Dimetapp Multisymptom Cold Flu,Dimetapp Multisymptom Cold Flu
Dimetapp Nd,Dimetapp Nd
Dimetapp Nighttime Cold Congestion,Dimetapp Nighttime Cold Congestion
Dimethicone Zinc,Dimethicone Zinc
Dimethyl Fumarate,Dimethyl Fumarate
Dimethyl Sulfoxide,Dimethyl Sulfoxide
Dimethyl Sulfoxide Intravesical,Dimethyl Sulfoxide Intravesical
Dinoprostone Cervical,Dinoprostone Cervical
Dinoprostone Inserts,Dinoprostone Inserts
Dinoprostone Suppositories,Dinoprostone Suppositories
Diosmin Hesperidin,Diosmin Hesperidin
Diovan Hct,Diovan Hct
Diphen Elixir,Diphen Elixir
Diphenhydramine Ammonium Chloride,Diphenhydramine Ammonium Chloride
Diphenhydramine Chewable Tablets Orallydisintegrating,Diphenhydramine Chewable Tablets Orallydisintegrating
Diphenhydramine Elixir,Diphenhydramine Elixir
Diphenhydramine Hydrochloride,Diphenhydramine Hydrochloride
Diphenhydramine Ibuprofen,Diphenhydramine Ibuprofen
Diphenhydramine Magnesium Salicylate,Diphenhydramine Magnesium Salicylate
Diphenhydramine Orally Disintegrating,Diphenhydramine Orally Disintegrating
Diphenhydramine Phenylephrine,Diphenhydramine Phenylephrine
Diphenhydramine Phenylephrine Strips,Diphenhydramine Phenylephrine Strips
Diphenhydramine Strips,Diphenhydramine Strips
Diphenoxylate Atropine,Diphenoxylate Atropine
Diphenoxylate Hydrochloride,Diphenoxylate Hydrochloride
Diphtheria Antitoxin,Diphtheria Antitoxin
Diphtheria Conjugate,Diphtheria Conjugate
Diphtheria Tetanus Tox,Diphtheria Tetanus Tox
Diphtheria Tetanus Toxacell Pertussispolio Vacc,Diphtheria Tetanus Toxacell Pertussispolio Vacc
Diphtheria Tetanus Toxoids,Diphtheria Tetanus Toxoids
Diphtheria Tetanus Toxoids Acellular Pertussis Vaccine Adsorbed,Diphtheria Tetanus Toxoids Acellular Pertussis Vaccine Adsorbed
Diphtheria Tetanus Toxoids Adsorbed,Diphtheria Tetanus Toxoids Adsorbed
Diphtheria Tetanus Toxoids Vaccine,Diphtheria Tetanus Toxoids Vaccine
Diphtheria Tetanus Vaccine,Diphtheria Tetanus Vaccine
Diphtheriatetanus Toxacell Pertussispolio B Conj Vacc,Diphtheriatetanus Toxacell Pertussispolio B Conj Vacc
Diphtheriatetanus Toxoids,Diphtheriatetanus Toxoids
Dipivefrin Ophthalmic,Dipivefrin Ophthalmic
Diprolene Af,Diprolene Af
Diprolene Lotion,Diprolene Lotion
Diroximel Fumarate,Diroximel Fumarate
Diskets Dispersible,Diskets Dispersible
Disney Cars Gummies,Disney Cars Gummies
Disney Princess Gummies,Disney Princess Gummies
Disopyramide Phosphate,Disopyramide Phosphate
Disopyramide Sustainedrelease,Disopyramide Sustainedrelease
Disposable Enema Rectal,Disposable Enema Rectal
Ditropan Xl,Ditropan Xl
Diurex Aquagels,Diurex Aquagels
Diurex Water,Diurex Water
Diuril Sodium,Diuril Sodium
Diuscreen Collection,Diuscreen Collection
Diuscreen Multidrug,Diuscreen Multidrug
Divalproex Delayed Release,Divalproex Delayed Release
Divalproex Extended Release,Divalproex Extended Release
Divalproex Longacting,Divalproex Longacting
Divalproex Sodium,Divalproex Sodium
Divigel  Mgpacket,Divigel  Mgpacket
Divigel Transdermal,Divigel Transdermal
Dm Hbr,Dm Hbr
Dmt Suik,Dmt Suik
Doak Tar,Doak Tar
Doans Extra Strength,Doans Extra Strength
Doans Pills,Doans Pills
Doans Pills Extra Strength,Doans Pills Extra Strength
Doans Pm,Doans Pm
Doans Regular,Doans Regular
Dobutamine Hydrochloride,Dobutamine Hydrochloride
Dobutamine In Dextrose,Dobutamine In Dextrose
Doctors Choice,Doctors Choice
Doctors Foster Smith Benzocaine,Doctors Foster Smith Benzocaine
Doctors Foster Smith Chlorhexidine,Doctors Foster Smith Chlorhexidine
Doctors Foster Smith Chlorhexidine Cloth,Doctors Foster Smith Chlorhexidine Cloth
Doctors Foster Smith Chlorhexidine Salve,Doctors Foster Smith Chlorhexidine Salve
Doctors Foster Smith Chlorhexidine Spray,Doctors Foster Smith Chlorhexidine Spray
Doctors Foster Smith Dental Cleans Pad,Doctors Foster Smith Dental Cleans Pad
Doctors Foster Smith Iodoform,Doctors Foster Smith Iodoform
Docusate Enema,Docusate Enema
Docusate Rectal,Docusate Rectal
Docusate Salts,Docusate Salts
Docusate Senna,Docusate Senna
Docusate Sodium,Docusate Sodium
Docusol Plus Minienema,Docusol Plus Minienema
Dok Plus,Dok Plus
Dolasetron Mesylate,Dolasetron Mesylate
Dolgic Lq,Dolgic Lq
Dolgic Plus,Dolgic Plus
Dologesic Df,Dologesic Df
Doloracin Rx,Doloracin Rx
Doloracinl Rx With Lidocaine,Doloracinl Rx With Lidocaine
Doloracinl With Lidocaine,Doloracinl With Lidocaine
Dolorex Forte,Dolorex Forte
Dolorparche With Lidocaine,Dolorparche With Lidocaine
Dolutegravir Lamivudine,Dolutegravir Lamivudine
Dolutegravir Rilpivirine,Dolutegravir Rilpivirine
Dolutegravir Sodium,Dolutegravir Sodium
Dolutegravir Sodium Lamivudine,Dolutegravir Sodium Lamivudine
Dolutegravir Sodium Rilpivirine Hydrochloride,Dolutegravir Sodium Rilpivirine Hydrochloride
Donatuss Dc,Donatuss Dc
Donatussin Dc,Donatussin Dc
Donepezil Er,Donepezil Er
Donepezil Hydrochloride,Donepezil Hydrochloride
Donepezil Memantine,Donepezil Memantine
Donepezil Orally Disintegrating,Donepezil Orally Disintegrating
Dong Quai,Dong Quai
Donnatal Elixir,Donnatal Elixir
Donor Prep,Donor Prep
Dopamine Dextrose,Dopamine Dextrose
Dopamine Hydrochloride,Dopamine Hydrochloride
Dornase Alfa,Dornase Alfa
Dornase Alfa Inhalation,Dornase Alfa Inhalation
Doryx Mpc,Doryx Mpc
Dorzolamide Hydrochloride,Dorzolamide Hydrochloride
Dorzolamide Ophthalmic,Dorzolamide Ophthalmic
Dorzolamide Timolol,Dorzolamide Timolol
Dorzolamide Timolol Eye,Dorzolamide Timolol Eye
Dorzolamide Timolol Ophthalmic,Dorzolamide Timolol Ophthalmic
Dorzolamide Timolol Preservativefree Eye,Dorzolamide Timolol Preservativefree Eye
Double Antibiotic,Double Antibiotic
Double Antibiotic Pain Relief,Double Antibiotic Pain Relief
Double Cap,Double Cap
Dovonex Scalp,Dovonex Scalp
Doxapram Hydrochloride,Doxapram Hydrochloride
Doxazosin Extendedrelease,Doxazosin Extendedrelease
Doxazosin Mesylate,Doxazosin Mesylate
Doxepin Concentrate,Doxepin Concentrate
Doxepin Hydrochloride,Doxepin Hydrochloride
Doxorubicin Hydrochloride,Doxorubicin Hydrochloride
Doxorubicin Liposomal,Doxorubicin Liposomal
Doxorubicin Liposome,Doxorubicin Liposome
Doxycycline Calcium,Doxycycline Calcium
Doxycycline Delayed Release,Doxycycline Delayed Release
Doxycycline Delayedrelease,Doxycycline Delayedrelease
Doxycycline Hyclate,Doxycycline Hyclate
Doxycycline Hyclate Delayed Release,Doxycycline Hyclate Delayed Release
Doxycycline Hyclate Eent,Doxycycline Hyclate Eent
Doxycycline Monohydrate,Doxycycline Monohydrate
Doxycycline Subgingival,Doxycycline Subgingival
Doxycycline Tablets,Doxycycline Tablets
Doxycycline With Omega Vitamin E,Doxycycline With Omega Vitamin E
Doxylamine Phenylephrine,Doxylamine Phenylephrine
Doxylamine Pseudoephedrine,Doxylamine Pseudoephedrine
Doxylamine Pyridoxine,Doxylamine Pyridoxine
Doxylamine Succinate,Doxylamine Succinate
Dr Boldts Hiney Healer,Dr Boldts Hiney Healer
Dr Caldwell Laxative,Dr Caldwell Laxative
Dr Caldwell Senna Laxative,Dr Caldwell Senna Laxative
Dr Scholls Athletes Foot,Dr Scholls Athletes Foot
Dr Scholls Clear Away One Step Plantar Wart Remover,Dr Scholls Clear Away One Step Plantar Wart Remover
Dr Scholls Clear Away Wart Remover,Dr Scholls Clear Away Wart Remover
Dr Scholls Corn Removers,Dr Scholls Corn Removers
Dr Scholls Cushlin Ultra Slim Callus Removers,Dr Scholls Cushlin Ultra Slim Callus Removers
Dr Scholls Cushlin Ultra Slim Corn Removers,Dr Scholls Cushlin Ultra Slim Corn Removers
Dr Scholls Medicated Foot,Dr Scholls Medicated Foot
Dr Scholls Zino Soft Corn Remover,Dr Scholls Zino Soft Corn Remover
Dr Smiths Diaper Rash,Dr Smiths Diaper Rash
Dragons Blood,Dragons Blood
Dramamine Ii,Dramamine Ii
Dramamine Less Drowsy,Dramamine Less Drowsy
Drax Exametazime,Drax Exametazime
Draximage Maa,Draximage Maa
Drenison Tape,Drenison Tape
Drinkables Fruits Vegetables,Drinkables Fruits Vegetables
Drinkables Multivitamins,Drinkables Multivitamins
Dristan Cold,Dristan Cold
Dristan Cold Multi Symptom Formula,Dristan Cold Multi Symptom Formula
Dristan Cold Nondrowsy,Dristan Cold Nondrowsy
Dristan Hour,Dristan Hour
Dristan Spray,Dristan Spray
Dritho Creme,Dritho Creme
Drituss G,Drituss G
Drixoral Allergy Sinus,Drixoral Allergy Sinus
Drixoral Coldflu,Drixoral Coldflu
Drixoral Decongestant Nondrowsy,Drixoral Decongestant Nondrowsy
Drixoral Sinus,Drixoral Sinus
Dronedarone Hydrochloride,Dronedarone Hydrochloride
Drontal Plus,Drontal Plus
Drospirenone Estradiol,Drospirenone Estradiol
Drospirenone Ethinyl Estradiol,Drospirenone Ethinyl Estradiol
Dry Eye,Dry Eye
Dry Eye Omega Benefits,Dry Eye Omega Benefits
Dry Socket Paste,Dry Socket Paste
Ds Prep Pak,Ds Prep Pak
Dtann Hc,Dtann Hc
Du Zhong,Du Zhong
Duaklir Pressair,Duaklir Pressair
Dual Action Complete,Dual Action Complete
Duet Dha,Duet Dha
Duet Dha Balanced,Duet Dha Balanced
Duetdha Complete,Duetdha Complete
Dulcolax Milk Of Magnesia,Dulcolax Milk Of Magnesia
Dulcolax Stool Softener,Dulcolax Stool Softener
Dulcolax Suppository,Dulcolax Suppository
Duo Fusion,Duo Fusion
Duobrii Lotion,Duobrii Lotion
Duohist Dh,Duohist Dh
Duplex T,Duplex T
